,date,cpi_value,cpi_year,cpi_month
427,1988-06-01 00:00:00.000000,118.0,1988,06
428,1988-05-01 00:00:00.000000,117.5,1988,05
429,1988-04-01 00:00:00.000000,117.1,1988,04
430,1988-03-01 00:00:00.000000,116.5,1988,03
431,1988-02-01 00:00:00.000000,116.0,1988,02
432,1988-01-01 00:00:00.000000,115.7,1988,01
433,1987-12-01 00:00:00.000000,115.4,1987,12
434,1987-11-01 00:00:00.000000,115.4,1987,11
435,1987-10-01 00:00:00.000000,115.3,1987,10
436,1987-09-01 00:00:00.000000,115.0,1987,09
437,1987-08-01 00:00:00.000000,114.4,1987,08
438,1987-07-01 00:00:00.000000,113.8,1987,07
439,1987-06-01 00:00:00.000000,113.5,1987,06
440,1987-05-01 00:00:00.000000,113.1,1987,05
441,1987-04-01 00:00:00.000000,112.7,1987,04
442,1987-03-01 00:00:00.000000,112.1,1987,03
443,1987-02-01 00:00:00.000000,111.6,1987,02
444,1987-01-01 00:00:00.000000,111.2,1987,01
445,1986-12-01 00:00:00.000000,110.5,1986,12
446,1986-11-01 00:00:00.000000,110.4,1986,11
447,1986-10-01 00:00:00.000000,110.3,1986,10
448,1986-09-01 00:00:00.000000,110.2,1986,09
449,1986-08-01 00:00:00.000000,109.7,1986,08
450,1986-07-01 00:00:00.000000,109.5,1986,07
451,1986-06-01 00:00:00.000000,109.5,1986,06
452,1986-05-01 00:00:00.000000,108.9,1986,05
453,1986-04-01 00:00:00.000000,108.6,1986,04
454,1986-03-01 00:00:00.000000,108.8,1986,03
455,1986-02-01 00:00:00.000000,109.3,1986,02
456,1986-01-01 00:00:00.000000,109.6,1986,01
457,1985-12-01 00:00:00.000000,109.3,1985,12
458,1985-11-01 00:00:00.000000,109.0,1985,11
459,1985-10-01 00:00:00.000000,108.7,1985,10
460,1985-09-01 00:00:00.000000,108.3,1985,09
461,1985-08-01 00:00:00.000000,108.0,1985,08
462,1985-07-01 00:00:00.000000,107.8,1985,07
463,1985-06-01 00:00:00.000000,107.6,1985,06
464,1985-05-01 00:00:00.000000,107.3,1985,05
465,1985-04-01 00:00:00.000000,106.9,1985,04
466,1985-03-01 00:00:00.000000,106.4,1985,03
467,1985-02-01 00:00:00.000000,106.0,1985,02
468,1985-01-01 00:00:00.000000,105.5,1985,01
469,1984-12-01 00:00:00.000000,105.3,1984,12
470,1984-11-01 00:00:00.000000,105.3,1984,11
471,1984-10-01 00:00:00.000000,105.3,1984,10
472,1984-09-01 00:00:00.000000,105.0,1984,09
473,1984-08-01 00:00:00.000000,104.5,1984,08
474,1984-07-01 00:00:00.000000,104.1,1984,07
475,1984-06-01 00:00:00.000000,103.7,1984,06
476,1984-05-01 00:00:00.000000,103.4,1984,05
477,1984-04-01 00:00:00.000000,103.1,1984,04
478,1984-03-01 00:00:00.000000,102.6,1984,03
479,1984-02-01 00:00:00.000000,102.4,1984,02
480,1984-01-01 00:00:00.000000,101.9,1984,01
481,1983-12-01 00:00:00.000000,101.3,1983,12
482,1983-11-01 00:00:00.000000,101.2,1983,11
483,1983-10-01 00:00:00.000000,101.0,1983,10
484,1983-09-01 00:00:00.000000,100.7,1983,09
485,1983-08-01 00:00:00.000000,100.2,1983,08
486,1983-07-01 00:00:00.000000,99.9,1983,07
487,1983-06-01 00:00:00.000000,99.5,1983,06
488,1983-05-01 00:00:00.000000,99.2,1983,05
489,1983-04-01 00:00:00.000000,98.6,1983,04
490,1983-03-01 00:00:00.000000,97.9,1983,03
491,1983-02-01 00:00:00.000000,97.9,1983,02
492,1983-01-01 00:00:00.000000,97.8,1983,01
493,1982-12-01 00:00:00.000000,97.6,1982,12
494,1982-11-01 00:00:00.000000,98.0,1982,11
495,1982-10-01 00:00:00.000000,98.2,1982,10
496,1982-09-01 00:00:00.000000,97.9,1982,09
497,1982-08-01 00:00:00.000000,97.7,1982,08
498,1982-07-01 00:00:00.000000,97.5,1982,07
499,1982-06-01 00:00:00.000000,97.0,1982,06
500,1982-05-01 00:00:00.000000,95.8,1982,05
501,1982-04-01 00:00:00.000000,94.9,1982,04
502,1982-03-01 00:00:00.000000,94.5,1982,03
503,1982-02-01 00:00:00.000000,94.6,1982,02
504,1982-01-01 00:00:00.000000,94.3,1982,01
505,1981-12-01 00:00:00.000000,94.0,1981,12
506,1981-11-01 00:00:00.000000,93.7,1981,11
507,1981-10-01 00:00:00.000000,93.4,1981,10
508,1981-09-01 00:00:00.000000,93.2,1981,09
509,1981-08-01 00:00:00.000000,92.3,1981,08
510,1981-07-01 00:00:00.000000,91.6,1981,07
511,1981-06-01 00:00:00.000000,90.6,1981,06
512,1981-05-01 00:00:00.000000,89.8,1981,05
