,date,retail_value,retail_year,retail_month
368,1993-05-01 00:00:00.000000,163519.0,1993,05
369,1993-04-01 00:00:00.000000,158615.0,1993,04
370,1993-03-01 00:00:00.000000,153025.0,1993,03
371,1993-02-01 00:00:00.000000,134462.0,1993,02
372,1993-01-01 00:00:00.000000,137020.0,1993,01
373,1992-12-01 00:00:00.000000,191347.0,1992,12
374,1992-11-01 00:00:00.000000,154824.0,1992,11
375,1992-10-01 00:00:00.000000,155987.0,1992,10
376,1992-09-01 00:00:00.000000,148158.0,1992,09
377,1992-08-01 00:00:00.000000,152476.0,1992,08
378,1992-07-01 00:00:00.000000,152586.0,1992,07
379,1992-06-01 00:00:00.000000,151849.0,1992,06
380,1992-05-01 00:00:00.000000,152420.0,1992,05
381,1992-04-01 00:00:00.000000,147175.0,1992,04
382,1992-03-01 00:00:00.000000,142488.0,1992,03
383,1992-02-01 00:00:00.000000,131244.0,1992,02
384,1992-01-01 00:00:00.000000,130683.0,1992,01
